row.number,subject,trial,color,FID,AD
1546,13,58,3,47,28
1547,13,59,1,73,65
1548,13,60,3,52,14
1549,13,61,3,49,20
1550,13,62,1,58,71
1551,13,63,2,64,41
1552,13,64,3,50,20
1553,13,65,4,72,69
1554,13,66,4,61,44
1555,13,67,4,1,28
1556,13,68,4,76,33
1557,13,69,1,76,63
1558,13,70,3,47,22
1559,13,71,2,58,39
1560,13,72,1,75,57
1561,13,73,3,38,15
1562,13,74,1,75,63
1563,13,75,2,63,33
1564,13,76,1,73,52
1565,13,77,2,58,42
1566,13,78,3,49,9
1567,13,79,2,65,30
1568,13,80,3,48,9
1569,13,81,1,75,52
1570,13,82,1,60,69
1571,13,83,3,36,15
1572,13,84,2,65,33
1573,13,85,2,50,39
1574,13,86,3,43,15
1575,13,87,1,75,63
1576,13,88,2,57,39
1577,13,89,4,28,15
1578,13,90,4,67,57
1579,13,91,4,71,57
1580,13,92,4,44,22
1581,13,93,2,63,39
1582,13,94,2,65,39
1583,13,95,1,74,63
1584,13,96,3,44,22
1585,15,49,4,71,35
1586,15,50,4,69,65
1587,15,51,4,72,7
1588,15,52,4,64,42
1589,15,53,1,70,69
1590,15,54,3,55,14
1591,15,55,2,67,46
1592,15,56,1,72,65
1593,15,57,2,71,41
1594,15,58,3,50,28
1595,15,59,1,66,65
1596,15,60,3,46,14
1597,15,61,3,55,20
1598,15,62,1,65,71
1599,15,63,2,71,41
1600,15,64,3,75,20
1601,15,65,4,48,69
1602,15,66,4,67,44
1603,15,67,4,55,28
1604,15,68,4,59,33
1605,15,69,1,73,63
1606,15,70,3,49,22
1607,15,71,2,70,39
1608,15,72,1,73,57
1609,15,73,3,41,15
1610,15,74,1,68,63
1611,15,75,2,72,33
1612,15,76,1,66,52
1613,15,77,2,65,42
1614,15,78,3,80,9
1615,15,79,2,66,30
1616,15,80,3,46,9
1617,15,81,1,70,52
1618,15,82,1,63,69
1619,15,83,3,44,15
1620,15,84,2,71,33
1621,15,85,2,61,39
1622,15,86,3,41,15
1623,15,87,1,68,63
1624,15,88,2,63,39
1625,15,89,4,50,15
1626,15,90,4,69,57
1627,15,91,4,68,57
1628,15,92,4,48,22
1629,15,93,2,63,39
1630,15,94,2,68,39
1631,15,95,1,57,63
1632,15,96,3,51,22
1633,16,49,4,41,35
1634,16,50,4,36,65
1635,16,51,4,52,7
1636,16,52,4,47,42
1637,16,53,1,63,69
1638,16,54,3,38,14
1639,16,55,2,52,46
1640,16,56,1,66,65
1641,16,57,2,56,41
1642,16,58,3,7,28
1643,16,59,1,44,65
1644,16,60,3,26,14
1645,16,61,3,29,20
1646,16,62,1,57,71
1647,16,63,2,72,41
1648,16,64,3,15,20
1649,16,65,4,55,69
1650,16,66,4,63,44
1651,16,67,4,67,28
1652,16,68,4,50,33
1653,16,69,1,67,63
1654,16,70,3,37,22
1655,16,71,2,52,39
1656,16,72,1,67,57
1657,16,73,3,29,15
1658,16,74,1,64,63
1659,16,75,2,50,33
1660,16,76,1,73,52
1661,16,77,2,52,42
1662,16,78,3,38,9
1663,16,79,2,47,30
1664,16,80,3,33,9
1665,16,81,1,71,52
1666,16,82,1,55,69
1667,16,83,3,29,15
1668,16,84,2,54,33
1669,16,85,2,63,39
1670,16,86,3,28,15
1671,16,87,1,73,63
1672,16,88,2,58,39
1673,16,89,4,23,15
1674,16,90,4,64,57
1675,16,91,4,65,57
1676,16,92,4,28,22
1677,16,93,2,60,39
1678,16,94,2,56,39
1679,16,95,1,69,63
1680,16,96,3,10,22
1681,17,49,4,69,35
1682,17,50,4,51,65
1683,17,51,4,72,7
1684,17,52,4,65,42
1685,17,53,1,77,69
1686,17,54,3,63,14
1687,17,55,2,66,46
1688,17,56,1,78,65
1689,17,57,2,53,41
1690,17,58,3,64,28
1691,17,59,1,79,65
1692,17,60,3,62,14
1693,17,61,3,80,20
1694,17,62,1,79,71
1695,17,63,2,54,41
1696,17,64,3,59,20
1697,17,65,4,79,69
1698,17,66,4,30,44
1699,17,67,4,36,28
1700,17,68,4,46,33
1701,17,69,1,79,63
1702,17,70,3,64,22
1703,17,71,2,50,39
1704,17,72,1,76,57
1705,17,73,3,63,15
1706,17,74,1,79,63
1707,17,75,2,65,33
1708,17,76,1,77,52
1709,17,77,2,67,42
1710,17,78,3,48,9
1711,17,79,2,51,30
1712,17,80,3,42,9
1713,17,81,1,79,52
1714,17,82,1,75,69
1715,17,83,3,55,15
1716,17,84,2,61,33
1717,17,85,2,66,39
1718,17,86,3,39,15
1719,17,87,1,77,63
1720,17,88,2,61,39
1721,17,89,4,26,15
1722,17,90,4,78,57
1723,17,91,4,76,57
1724,17,92,4,28,22
1725,17,93,2,62,39
1726,17,94,2,59,39
1727,17,95,1,76,63
1728,17,96,3,50,22
1729,18,49,4,0,35
1730,18,50,4,0,65
1731,18,51,4,22,7
1732,18,52,4,43,42
1733,18,53,1,74,69
1734,18,54,3,38,14
1735,18,55,2,60,46
1736,18,56,1,72,65
1737,18,57,2,62,41
1738,18,58,3,22,28
1739,18,59,1,74,65
1740,18,60,3,39,14
1741,18,61,3,41,20
1742,18,62,1,75,71
1743,18,63,2,66,41
1744,18,64,3,41,20
1745,18,65,4,0,69
1746,18,66,4,50,44
1747,18,67,4,33,28
1748,18,68,4,58,33
1749,18,69,1,77,63
1750,18,70,3,43,22
1751,18,71,2,61,39
1752,18,72,1,74,57
1753,18,73,3,35,15
1754,18,74,1,74,63
1755,18,75,2,61,33
1756,18,76,1,72,52
1757,18,77,2,60,42
1758,18,78,3,38,9
1759,18,79,2,56,30
1760,18,80,3,39,9
1761,18,81,1,68,52
1762,18,82,1,55,69
1763,18,83,3,37,15
1764,18,84,2,59,33
1765,18,85,2,46,39
1766,18,86,3,32,15
1767,18,87,1,75,63
1768,18,88,2,58,39
1769,18,89,4,32,15
1770,18,90,4,72,57
1771,18,91,4,36,57
1772,18,92,4,79,22
1773,18,93,2,59,39
1774,18,94,2,58,39
1775,18,95,1,72,63
1776,18,96,3,43,22
1777,19,49,4,0,35
1778,19,50,4,0,65
1779,19,51,4,30,7
1780,19,52,4,28,42
1781,19,53,1,77,69
1782,19,54,3,36,14
1783,19,55,2,32,46
1784,19,56,1,78,65
1785,19,57,2,52,41
1786,19,58,3,14,28
1787,19,59,1,74,65
1788,19,60,3,31,14
1789,19,61,3,38,20
1790,19,62,1,76,71
1791,19,63,2,51,41
1792,19,64,3,40,20
1793,19,65,4,55,69
1794,19,66,4,54,44
1795,19,67,4,32,28
1796,19,68,4,53,33
1797,19,69,1,76,63
1798,19,70,3,43,22
1799,19,71,2,48,39
1800,19,72,1,69,57
1801,19,73,3,30,15
1802,19,74,1,71,63
1803,19,75,2,52,33
1804,19,76,1,69,52
1805,19,77,2,49,42
1806,19,78,3,37,9
1807,19,79,2,52,30
1808,19,80,3,33,9
1809,19,81,1,69,52
1810,19,82,1,55,69
1811,19,83,3,30,15
1812,19,84,2,51,33
1813,19,85,2,47,39
1814,19,86,3,27,15
1815,19,87,1,70,63
1816,19,88,2,47,39
1817,19,89,4,22,15
1818,19,90,4,67,57
1819,19,91,4,69,57
1820,19,92,4,30,22
1821,19,93,2,44,39
1822,19,94,2,50,39
1823,19,95,1,64,63
1824,19,96,3,36,22
1825,20,49,4,55,35
1826,20,50,4,72,65
1827,20,51,4,46,7
